log10(nu_E [GeV]) low,log10(nu_E [GeV]) center,log10(nu_E [GeV]) high,log10(reco_E [GeV]) low,log10(reco_E [GeV]) center,log10(reco_E [GeV]) high,dP/dlog10(nu_E [GeV])
1.000,1.175,1.350,                        1.000,1.175,1.350,                        0.0
1.000,1.175,1.350,                        1.350,1.525,1.700,                        0.0
1.000,1.175,1.350,                        1.700,1.875,2.050,                        0.0
1.000,1.175,1.350,                        2.050,2.225,2.400,                        0.0
1.000,1.175,1.350,                        2.400,2.575,2.750,                        0.0
1.000,1.175,1.350,                        2.750,2.925,3.100,                        0.0
1.000,1.175,1.350,                        3.100,3.275,3.450,                        0.0
1.000,1.175,1.350,                        3.450,3.625,3.800,                        0.0
1.000,1.175,1.350,                        3.800,3.975,4.150,                        0.0
1.000,1.175,1.350,                        4.150,4.325,4.500,                        0.0
1.000,1.175,1.350,                        4.500,4.675,4.850,                        0.0
1.000,1.175,1.350,                        4.850,5.025,5.200,                        0.0
1.000,1.175,1.350,                        5.200,5.375,5.550,                        0.0
1.000,1.175,1.350,                        5.550,5.725,5.900,                        0.0
1.000,1.175,1.350,                        5.900,6.075,6.250,                        0.0
1.000,1.175,1.350,                        6.250,6.425,6.600,                        0.0
1.000,1.175,1.350,                        6.600,6.775,6.950,                        0.0
1.000,1.175,1.350,                        6.950,7.125,7.300,                        0.0
1.000,1.175,1.350,                        7.300,7.475,7.650,                        0.0
1.000,1.175,1.350,                        7.650,7.825,8.000,                        0.0
1.350,1.525,1.700,                        1.000,1.175,1.350,                        0.0
1.350,1.525,1.700,                        1.350,1.525,1.700,                        0.0
1.350,1.525,1.700,                        1.700,1.875,2.050,                        0.0
1.350,1.525,1.700,                        2.050,2.225,2.400,                        0.0
1.350,1.525,1.700,                        2.400,2.575,2.750,                        0.0
1.350,1.525,1.700,                        2.750,2.925,3.100,                        0.0
1.350,1.525,1.700,                        3.100,3.275,3.450,                        0.0
1.350,1.525,1.700,                        3.450,3.625,3.800,                        0.0
1.350,1.525,1.700,                        3.800,3.975,4.150,                        0.0
1.350,1.525,1.700,                        4.150,4.325,4.500,                        0.0
1.350,1.525,1.700,                        4.500,4.675,4.850,                        0.0
1.350,1.525,1.700,                        4.850,5.025,5.200,                        0.0
1.350,1.525,1.700,                        5.200,5.375,5.550,                        0.0
1.350,1.525,1.700,                        5.550,5.725,5.900,                        0.0
1.350,1.525,1.700,                        5.900,6.075,6.250,                        0.0
1.350,1.525,1.700,                        6.250,6.425,6.600,                        0.0
1.350,1.525,1.700,                        6.600,6.775,6.950,                        0.0
1.350,1.525,1.700,                        6.950,7.125,7.300,                        0.0
1.350,1.525,1.700,                        7.300,7.475,7.650,                        0.0
1.350,1.525,1.700,                        7.650,7.825,8.000,                        0.0
1.700,1.875,2.050,                        1.000,1.175,1.350,                        3.0869219923953177
1.700,1.875,2.050,                        1.350,1.525,1.700,                        6.187508551139086
